GEOID,ATOTAL,area,error
22091,1060568859,,
22093,667750784,,
22095,1061525125,,
22097,2431951924,,
22099,2114707649,,
22101,2899290969,,
22103,2837535286,,
22105,2186161669,,
22107,1660675584,,
22109,5392412815,,
22111,2344885451,,
22113,3993941975,,
22115,3474429740,,
22117,1750527403,,
22119,1592427710,,
22121,527896143,,
22123,933864822,,
22125,1103341858,,
22127,2478160055,,
23001,1287537098,,
23003,17682888278,,
23005,3153211934,,
23007,4516511327,,
23009,6073341799,,
23011,2463530623,,
23013,2962800928,,
23015,1811988415,,
23017,5635177641,,
23019,9212682819,,
23021,11339063174,,
23023,958373074,,
23025,10601788655,,
23027,2208631144,,
23029,8437316472,,
23031,3288533398,,
24001,1108263467,,
24003,1522386727,,
24005,1765704129,,
24009,893739213,,
24011,844127318,,
24013,1172465383,,
24015,1082193738,,
24017,1665196675,,
24019,2545926813,,
24021,1728596337,,
24023,1703600857,,
24025,1364037718,,
24027,656288278,,
24029,1070818733,,
24031,1312879880,,
24033,1291979977,,
24035,1322693941,,
24037,1979402499,,
24039,1580798167,,
24041,1234925087,,
24043,1210413255,,
24045,1036531803,,
24047,1799687587,,
24510,238409684,,
25001,3381335984,,
25003,2451308776,,
25005,1790010450,,
25007,1271584408,,
25009,2145781364,,
25011,1876520415,,
25013,1642413774,,
25015,1412201291,,
25017,2193554396,,
25019,786463738,,
25021,1150866086,,
25023,2831621438,,
25025,311377752,,
25027,4090010975,,
26001,4637754236,,
26003,13073445129,,
26005,4748198754,,
26007,4389838385,,
26009,1558539447,,
26011,1762940966,,
26013,2768533794,,
26015,1494532679,,
26017,1633548274,,
26019,2226260115,,
26021,4095993513,,
26023,1346025607,,
26025,1860467014,,
26027,1316515007,,
26029,3601219905,,
26031,2293171441,,
26033,6989004627,,
26035,1490200693,,
26037,1488115603,,
26039,1458995665,,
26041,5157527259,,
26043,2011351091,,
26045,1500725317,,
26047,2284359982,,
26049,1682422685,,
26051,1336297500,,
26053,3824671156,,
26055,1557396292,,
26057,1480468098,,
26059,1572146287,,
26061,3888913138,,
26063,5534294192,,
26065,1452242411,,
26067,1502301224,,
26069,4895242582,,
26071,3136719886,,
26073,1496230720,,
26075,1873838284,,
26077,1502965389,,
26079,1477749310,,
26081,2258319786,,
26083,15452556654,,
26085,1487544314,,
26087,1716758584,,
26089,6558347202,,
26091,1972023729,,
26093,1516194337,,
26095,4953305112,,
26097,5440409272,,
26099,1478678371,,
26101,3317055242,,
26103,8870758747,,
26105,3217579836,,
26107,1479509345,,
26109,3465852006,,
26111,1367691720,,
26113,1486382427,,
26115,1761021588,,
26117,1866738147,,
26119,1457233732,,
26121,3781444416,,
26123,2231789389,,
26125,2349733012,,
26127,3382396002,,
26129,1489107925,,
26131,9687695603,,
26133,1484099462,,
26135,1480224548,,
26137,1362910976,,
26139,4225333395,,
26141,6663396759,,
26143,1502249397,,
26145,2113341350,,
26147,2166542335,,
26149,1349451945,,
26151,4117927986,,
26153,4879356191,,
26155,1401031530,,
26157,2367017902,,
26159,2822837548,,
26161,1871063031,,
26163,1742401569,,
26165,1490330769,,
27001,5167806928,,
27003,1155323226,,
27005,3743007005,,
27007,7913442231,,
27009,1069770347,,
27011,1367818080,,
27013,1982868323,,
27015,1601299887,,
27017,2266954837,,
27019,974117081,,
27021,6252190459,,
27023,1522499527,,
27025,1145768469,,
27027,2726357205,,
27029,2667153567,,
27031,8649862760,,
27033,1679772247,,
27035,2995450974,,
27037,1519827255,,
27039,1138525079,,
27041,1864804483,,
27043,1869723957,,
27045,2232802327,,
27047,1871061679,,
27049,2019037191,,
27051,1490490959,,
27053,1570998049,,
27055,1473280685,,
27057,2588670473,,
27059,1169734423,,
27061,7583199623,,
27063,1862809841,,
27065,1382233541,,
27067,2233492304,,
27069,2858306596,,
27071,8168821096,,
27073,2015037651,,
27075,7745667613,,
27077,4609063270,,
27079,1227185368,,
27081,1420432900,,
27083,1869109923,,
27085,1309310581,,
27087,1509719604,,
27089,4695404187,,
27091,1889597439,,
27093,1669961005,,
27095,1765347668,,
27097,2987256257,,
27099,1842949499,,
27101,1863505765,,
27103,1209377791,,
27105,1871397265,,
27107,2270720847,,
27109,1696086932,,
27111,5761537277,,
27113,1601260819,,
27115,3715483750,,
27117,1206836968,,
27119,5174255661,,
27121,1857306522,,
27123,440570146,,
27125,1120157139,,
27127,2283714162,,
27129,2556596578,,
27131,1336281404,,
27133,1250258984,,
27135,4346385348,,
27137,17766051872,,
27139,954068511,,
27141,1168196465,,
27143,1555411953,,
27145,3599997097,,
27147,1119752479,,
27149,1490067154,,
27151,1947930102,,
27153,2536895053,,
27155,1517346209,,
27157,1423313955,,
27159,1406960311,,
27161,1121398825,,
27163,1095076330,,
27165,1138896523,,
27167,1945562443,,
27169,1661690097,,
27171,1849901639,,
27173,1976750916,,
28001,1262737905,,
28003,1039518438,,
28005,1894828688,,
28007,1907955150,,
28009,1058410604,,
28011,2346056931,,
28013,1522808672,,
28015,1643567676,,
28017,1305989174,,
28019,1087420422,,
28021,1298111156,,
28023,1796246990,,
28025,1077459113,,
28027,1510357884,,
28029,2018803549,,
28031,1074665660,,
28033,1287180723,,
28035,1217915797,,
28037,1467909588,,
28039,1252655033,,
28041,1861414513,,
28043,1163950670,,
28045,1431656830,,
28047,2550332039,,
28049,2272147172,,
28051,1980345651,,
28053,1116889946,,
28055,1143290335,,
28057,1399758559,,
28059,2702401813,,
28061,1754633029,,
28063,1365608646,,
28065,1059662809,,
28067,1812235710,,
28069,1986585502,,
28071,1759193924,,
28073,1294981211,,
28075,1852238773,,
28077,1128442429,,
28079,1516073650,,
28081,1173718736,,
28083,1570513895,,
28085,1523560852,,
28087,1337637715,,
28089,1921876863,,
28091,1420919531,,
28093,1838184990,,
28095,1999718852,,
28097,1056426983,,
28099,1480472096,,
28101,1501162081,,
