,station_id,stime,air_data_value,RH,UGRD,VGRD,HPBL,TMP,goes_measurement
807,48-361-1100,2019-01-04 15:00:00,9.0,82.1,4.3839006,-0.19550228,296.36697,279.6145,0.09363985
808,48-479-0313,2019-01-04 15:00:00,7.0,86.4,0.38390064,-0.5705023,31.554482,278.177,0.1029641
820,06-073-1201,2019-01-04 16:00:00,9.0,21.6,1.6722031,-0.5182972,144.9381,282.36765,-0.0029934011
822,06-079-2007,2019-01-04 16:00:00,12.0,71.9,-1.5777969,2.1067028,27.375591,276.11765,0.43208736
832,31-055-0019,2019-01-04 16:00:00,5.0,76.4,0.85970306,-0.5182972,82.438095,274.99265,0.19250783
838,35-001-0023,2019-01-04 16:00:00,5.6000000000000000,68.1,0.23470306,-0.7682972,51.56309,266.74265,2.3423278
839,35-001-0026,2019-01-04 16:00:00,7.1000000000000000,66.9,0.35970306,-0.080797195,68.625595,266.86765,2.1311064
857,48-201-1034,2019-01-04 16:00:00,8.0,82.1,3.859703,-0.3307972,359.37558,281.86765,0.24144094
858,48-273-0314,2019-01-04 16:00:00,4.0,63.2,4.047203,-1.2682972,88.750595,284.99265,1.0780044
860,48-361-1100,2019-01-04 16:00:00,5.0,76.200005,4.672203,-0.8307972,473.93808,281.18015,0.07861315
861,48-479-0313,2019-01-04 16:00:00,2.0,60.2,0.109703064,-1.2682972,87.125595,284.11765,0.18711363
889,35-001-0023,2019-01-04 17:00:00,7.4,59.0,0.44703007,-0.9907675,114.10776,269.19937,0.8718688
890,35-001-0026,2019-01-04 17:00:00,5.9,57.3,0.13453007,-0.5532675,139.79526,269.44937,1.7741644
897,40-115-9007,2019-01-04 17:00:00,5.0,71.1,0.50953007,-1.1157675,185.17026,278.69937,0.023900542
907,48-201-1034,2019-01-04 17:00:00,5.0,74.3,3.75953,-0.9282675,495.29526,283.51187,0.26471305
908,48-273-0314,2019-01-04 17:00:00,6.0,57.0,4.07203,-1.3032675,171.10776,286.88687,1.0508022
911,48-361-1100,2019-01-04 17:00:00,7.0,74.3,4.50953,-0.7407675,583.6078,282.44937,0.18318357
912,48-479-0313,2019-01-04 17:00:00,4.0,37.0,-0.11546993,-2.3032675,342.60776,288.69937,0.19535905
918,06-019-0500,2019-01-04 18:00:00,7.0,58.2,-2.1428814,1.9916849,77.217415,283.3006,0.0042502396000000000
923,06-073-1201,2019-01-04 18:00:00,8.0,24.9,2.4821186,-0.19581509,116.592415,288.5506,-0.0026851594
925,06-083-2004,2019-01-04 18:00:00,3.0,62.8,-0.2678814,0.24168491,156.4674,284.4881,0.12947275
926,06-083-2011,2019-01-04 18:00:00,3.0,69.1,-0.2053814,0.4291849,363.8424,286.9881,0.07768842600000000
935,31-055-0019,2019-01-04 18:00:00,14.0,57.600002,1.2946186,0.11668491,78.529915,280.6756,0.18148825
941,35-001-0023,2019-01-04 18:00:00,6.8,47.4,0.9196186,-3.070815,112.904915,273.4256,2.259026
942,35-001-0026,2019-01-04 18:00:00,5.0,47.5,0.4821186,-3.008315,120.717415,273.5506,1.6820006
949,40-115-9007,2019-01-04 18:00:00,5.0,59.4,1.4196186,-0.5708151,236.9049,280.6131,-0.009004079
958,48-043-0101,2019-01-04 18:00:00,9.0,21.2,-2.7678814,2.241685,412.3424,286.5506,0.12924157
960,48-273-0314,2019-01-04 18:00:00,5.0,56.2,3.6696186,-0.7583151,278.7799,288.3631,0.764293
962,48-361-1100,2019-01-04 18:00:00,6.0,70.8,4.4196186,-1.2583151,519.9674,283.8006,0.022282284
963,48-479-0313,2019-01-04 18:00:00,3.0,23.7,-0.017881393,-2.445815,515.5924,291.2381,0.14935423
968,06-011-0007,2019-01-04 19:00:00,13.0,51.100002,-1.050519,-0.23429775,131.91745,280.07144,0.07838197
973,06-073-1201,2019-01-04 19:00:00,6.0,19.7,2.949481,-0.79679775,306.29245,291.00894,-0.01863658
974,06-079-2004,2019-01-04 19:00:00,9.0,53.8,0.01198101,1.2657022,280.79245,285.69644,0.020432841
983,31-055-0019,2019-01-04 19:00:00,10.0,53.100002,1.449481,-0.42179775,124.72995,282.82144,0.10242468
989,35-001-0023,2019-01-04 19:00:00,6.9,38.600002,0.19948101,-4.1092978,183.85495,276.44644,1.4492794
990,35-001-0026,2019-01-04 19:00:00,5.0,38.8,-0.05051899,-4.1092978,177.66745,276.69644,1.9248937
996,40-115-9007,2019-01-04 19:00:00,4.0,53.0,2.636981,-0.23429775,336.66745,282.57144,-0.044143442000000000
1004,48-043-0101,2019-01-04 19:00:00,14.0,18.2,-2.050519,2.0157022,549.1049,287.75894,0.0028631613
