GEOID,YYYYMM,deaths
36013,199903,13
36027,199903,10
36029,199903,59
36047,199903,35
36055,199903,37
36059,199903,46
36061,199903,47
36063,199903,16
36065,199903,14
36067,199903,30
36071,199903,10
36075,199903,17
36081,199903,44
36085,199903,12
36091,199903,12
36093,199903,10
36101,199903,14
36103,199903,45
36119,199903,39
37021,199903,10
37057,199903,10
37063,199903,13
37067,199903,11
37071,199903,13
37081,199903,13
37119,199903,28
37129,199903,11
37133,199903,12
37183,199903,19
38017,199903,10
39017,199903,19
39029,199903,10
39035,199903,67
39043,199903,10
39049,199903,55
39057,199903,10
39061,199903,61
39085,199903,15
39089,199903,11
39093,199903,20
39095,199903,41
39099,199903,18
39109,199903,12
39113,199903,42
39119,199903,14
39151,199903,27
39153,199903,33
39155,199903,16
39165,199903,10
40109,199903,36
40143,199903,27
41005,199903,13
41017,199903,11
41019,199903,10
41029,199903,13
41039,199903,12
41047,199903,15
41051,199903,40
42003,199903,81
42007,199903,10
42011,199903,20
42017,199903,24
42029,199903,16
42033,199903,10
42041,199903,20
42043,199903,17
42045,199903,31
42049,199903,14
42051,199903,10
42069,199903,17
42071,199903,25
42077,199903,14
42079,199903,24
42081,199903,11
42083,199903,10
42091,199903,35
42095,199903,12
42097,199903,13
42101,199903,65
42107,199903,13
42125,199903,16
42129,199903,17
42133,199903,18
44003,199903,11
44007,199903,32
45007,199903,14
45019,199903,19
45045,199903,13
45079,199903,15
45083,199903,13
47037,199903,37
47065,199903,22
47093,199903,29
47157,199903,36
47163,199903,11
47179,199903,16
48029,199903,45
48085,199903,10
48113,199903,68
48141,199903,19
48201,199903,74
48215,199903,19
48303,199903,12
48339,199903,10
48355,199903,20
48375,199903,14
48439,199903,73
48451,199903,10
48453,199903,22
49035,199903,24
51041,199903,11
51059,199903,19
51087,199903,17
51550,199903,16
51710,199903,11
51760,199903,14
51810,199903,17
53005,199903,11
53011,199903,12
53033,199903,73
53035,199903,22
53053,199903,31
53061,199903,26
53063,199903,25
53077,199903,13
54039,199903,21
55009,199903,12
55025,199903,18
55079,199903,55
55133,199903,14
01073,199904,30
01097,199904,12
01101,199904,13
04013,199904,139
04015,199904,12
04019,199904,36
04021,199904,11
05119,199904,10
06001,199904,35
06007,199904,20
06013,199904,38
06019,199904,25
06029,199904,32
06037,199904,248
06041,199904,11
06045,199904,10
06053,199904,15
06059,199904,67
06061,199904,12
06065,199904,87
06067,199904,52
06071,199904,62
06073,199904,101
06075,199904,32
06077,199904,26
06079,199904,11
06081,199904,25
06085,199904,35
06089,199904,11
06097,199904,21
06099,199904,16
06107,199904,14
06111,199904,16
08001,199904,15
08005,199904,13
08013,199904,12
08031,199904,21
08041,199904,29
08059,199904,16
08069,199904,12
09001,199904,19
09003,199904,38
09009,199904,33
10003,199904,15
11001,199904,20
12005,199904,14
12009,199904,27
12011,199904,68
12017,199904,11
12021,199904,10
12031,199904,34
12033,199904,13
12053,199904,13
12057,199904,56
12069,199904,15
12071,199904,22
12081,199904,17
12083,199904,14
12086,199904,63
12095,199904,23
12099,199904,49
12101,199904,30
12103,199904,75
12105,199904,18
12109,199904,10
12111,199904,10
12115,199904,30
12117,199904,15
12127,199904,32
13051,199904,13
13063,199904,10
13067,199904,16
13089,199904,10
13121,199904,19
13135,199904,13
15003,199904,12
17031,199904,160
17043,199904,16
17089,199904,12
17097,199904,16
17113,199904,11
17119,199904,10
17197,199904,13
17201,199904,14
18003,199904,14
18039,199904,10
18089,199904,21
18097,199904,32
18141,199904,12
19113,199904,17
19153,199904,11
20091,199904,13
20173,199904,20
20177,199904,21
20209,199904,10
21067,199904,10
21111,199904,37
22017,199904,14
22019,199904,11
22051,199904,11
22071,199904,10
23005,199904,14
24001,199904,11
24003,199904,16
24005,199904,28
24021,199904,10
24031,199904,24
24033,199904,14
24510,199904,21
25001,199904,10
25005,199904,22
25009,199904,42
25013,199904,21
25017,199904,37
25021,199904,15
25023,199904,19
25025,199904,23
25027,199904,28
26025,199904,10
26049,199904,13
26065,199904,11
26077,199904,10
26081,199904,15
26099,199904,31
26125,199904,41
26147,199904,15
26163,199904,78
27037,199904,13
27053,199904,34
27123,199904,18
27137,199904,13
28049,199904,11
29047,199904,10
29095,199904,29
29097,199904,10
29189,199904,46
29510,199904,18
31055,199904,23
31109,199904,11
32003,199904,66
32031,199904,20
33011,199904,20
33013,199904,10
33015,199904,12
34003,199904,26
34007,199904,16
34013,199904,18
34017,199904,15
34023,199904,17
34025,199904,32
34027,199904,12
34029,199904,34
34031,199904,13
34039,199904,22
35001,199904,22
36001,199904,23
36005,199904,27
36007,199904,13
36013,199904,10
36027,199904,13
36029,199904,33
36047,199904,43
36055,199904,25
36059,199904,43
36061,199904,28
36063,199904,16
36065,199904,17
36067,199904,20
36071,199904,12
36081,199904,24
36083,199904,10
36085,199904,10
36087,199904,10
36103,199904,31
36111,199904,10
36119,199904,28
37021,199904,14
37051,199904,12
37057,199904,10
37063,199904,10
37067,199904,12
37071,199904,13
37081,199904,10
37119,199904,20
37183,199904,10
39017,199904,18
39035,199904,50
39049,199904,43
39061,199904,43
39085,199904,10
39093,199904,20
39095,199904,24
39099,199904,20
39113,199904,28
39139,199904,10
39151,199904,13
39153,199904,25
39155,199904,14
40109,199904,23
40143,199904,24
41029,199904,13
41039,199904,17
41047,199904,10
41051,199904,34
42003,199904,75
42011,199904,19
42017,199904,19
42029,199904,13
42039,199904,12
42045,199904,20
42069,199904,15
42071,199904,18
42079,199904,22
42085,199904,10
42091,199904,29
42097,199904,10
42101,199904,60
42129,199904,24
42133,199904,13
44003,199904,10
44007,199904,22
45003,199904,10
45019,199904,13
45045,199904,16
45079,199904,10
45083,199904,14
47037,199904,16
47065,199904,11
47093,199904,12
47157,199904,24
48029,199904,38
48113,199904,63
48135,199904,13
48141,199904,19
48201,199904,89
48215,199904,14
48245,199904,10
48303,199904,18
48339,199904,11
48439,199904,44
48453,199904,21
49035,199904,21
51059,199904,12
51087,199904,15
53015,199904,10
53033,199904,57
53053,199904,27
53061,199904,16
53063,199904,36
53073,199904,11
54039,199904,13
55009,199904,10
55025,199904,11
55079,199904,36
55133,199904,10
01073,199905,24
01097,199905,13
04013,199905,94
04015,199905,10
04019,199905,35
04021,199905,10
04025,199905,10
05119,199905,14
06001,199905,41
06007,199905,13
06013,199905,34
06019,199905,18
06029,199905,27
06037,199905,239
06053,199905,12
06057,199905,10
06059,199905,60
06065,199905,64
06067,199905,34
06071,199905,51
06073,199905,98
06075,199905,23
06077,199905,17
06081,199905,23
06083,199905,12
06085,199905,30
06087,199905,10
06095,199905,15
06097,199905,12
06099,199905,22
06111,199905,16
08013,199905,12
08031,199905,28
08041,199905,22
08059,199905,10
09001,199905,25
09003,199905,33
09005,199905,12
09009,199905,31
10003,199905,16
11001,199905,10
12005,199905,13
12009,199905,30
12011,199905,65
12015,199905,10
12017,199905,22
12031,199905,33
12033,199905,12
12053,199905,13
12057,199905,47
12069,199905,15
12071,199905,28
12081,199905,17
12083,199905,17
12086,199905,79
12095,199905,16
12097,199905,12
12099,199905,53
12101,199905,24
12103,199905,55
12105,199905,21
12111,199905,12
12115,199905,24
12117,199905,13
12127,199905,32
13021,199905,10
13051,199905,13
13089,199905,11
13121,199905,17
13135,199905,12
15003,199905,14
16001,199905,10
17031,199905,137
17043,199905,18
17097,199905,13
17119,199905,12
17161,199905,11
17163,199905,10
17201,199905,11
18003,199905,14
18089,199905,11
18095,199905,12
18097,199905,35
18141,199905,10
18163,199905,11
19113,199905,10
19153,199905,12
20091,199905,15
20173,199905,19
21067,199905,11
21111,199905,25
22051,199905,15
23005,199905,12
24003,199905,14
24005,199905,32
24031,199905,18
24033,199905,10
24510,199905,26
25003,199905,17
25005,199905,20
25009,199905,15
25013,199905,21
25017,199905,34
25021,199905,20
25023,199905,19
25025,199905,17
25027,199905,26
26049,199905,18
26081,199905,15
26099,199905,36
26125,199905,30
26163,199905,62
27003,199905,11
27053,199905,37
27123,199905,18
28047,199905,14
29077,199905,14
29095,199905,31
29099,199905,12
29189,199905,32
29510,199905,16
30111,199905,11
31055,199905,19
32003,199905,55
32031,199905,12
33015,199905,12
34001,199905,10
34003,199905,15
34005,199905,16
34007,199905,18
34013,199905,21
34015,199905,11
34017,199905,12
34021,199905,10
34023,199905,21
34025,199905,22
34027,199905,10
34029,199905,17
34035,199905,11
34039,199905,21
35001,199905,21
36001,199905,15
36005,199905,18
36007,199905,14
36029,199905,31
36047,199905,46
36055,199905,19
36059,199905,32
36061,199905,27
36063,199905,13
36065,199905,10
36067,199905,16
36071,199905,12
36081,199905,27
36083,199905,10
36085,199905,11
36089,199905,10
36103,199905,39
36111,199905,14
36119,199905,17
37021,199905,16
37051,199905,12
37067,199905,11
37081,199905,11
37119,199905,18
39017,199905,18
39035,199905,40
39049,199905,42
39061,199905,41
39089,199905,10
39093,199905,10
39095,199905,21
39099,199905,10
39113,199905,21
39151,199905,15
39153,199905,33
39155,199905,11
40109,199905,21
40143,199905,25
41005,199905,12
41019,199905,10
41039,199905,13
41047,199905,15
41051,199905,26
41067,199905,14
42003,199905,51
42007,199905,11
42017,199905,25
42043,199905,10
42045,199905,32
42049,199905,16
42051,199905,10
42069,199905,12
42071,199905,14
42077,199905,13
42079,199905,19
42091,199905,27
42101,199905,51
42125,199905,11
42129,199905,19
44007,199905,24
45019,199905,10
45045,199905,11
45063,199905,10
45079,199905,10
47037,199905,22
47065,199905,15
47093,199905,20
47157,199905,24
48029,199905,26
48113,199905,51
48141,199905,27
48181,199905,11
48201,199905,72
48339,199905,11
48355,199905,12
48439,199905,43
49035,199905,25
51059,199905,14
51087,199905,10
53011,199905,14
53033,199905,50
53053,199905,19
53061,199905,15
53063,199905,21
54039,199905,10
55079,199905,43
01073,199906,17
01089,199906,10
01097,199906,11
04013,199906,90
04019,199906,36
05119,199906,18
06001,199906,35
06007,199906,10
06013,199906,31
06019,199906,21
06029,199906,28
06037,199906,228
06053,199906,10
06059,199906,73
06061,199906,10
06065,199906,51
06067,199906,35
06071,199906,55
06073,199906,82
06075,199906,27
06077,199906,18
06079,199906,13
06081,199906,24
06085,199906,32
06087,199906,16
06089,199906,11
06095,199906,21
06097,199906,16
06099,199906,17
06107,199906,15
06111,199906,15
08001,199906,20
08005,199906,13
08031,199906,24
08041,199906,10
09001,199906,17
09003,199906,34
09009,199906,27
10003,199906,20
11001,199906,14
12005,199906,10
12009,199906,27
12011,199906,50
12021,199906,10
12031,199906,25
12033,199906,13
12057,199906,35
12069,199906,10
12071,199906,14
12083,199906,15
12086,199906,53
12095,199906,10
12099,199906,40
12101,199906,15
12103,199906,46
12105,199906,26
12115,199906,20
12117,199906,10
12127,199906,23
13067,199906,10
13121,199906,14
15003,199906,15
16001,199906,13
17031,199906,145
17043,199906,21
17089,199906,10
17097,199906,14
17119,199906,11
17143,199906,10
17163,199906,12
18003,199906,11
18089,199906,19
18097,199906,29
18163,199906,13
20173,199906,11
21067,199906,10
21111,199906,35
22071,199906,14
23005,199906,14
23019,199906,11
24003,199906,10
24005,199906,36
24031,199906,21
24033,199906,11
24510,199906,14
25005,199906,11
25009,199906,27
25013,199906,18
25017,199906,31
25021,199906,21
25023,199906,16
25025,199906,12
25027,199906,27
26049,199906,10
26081,199906,25
26099,199906,21
26121,199906,12
26125,199906,27
26163,199906,64
27053,199906,33
27123,199906,21
29021,199906,11
29095,199906,38
29097,199906,10
29189,199906,36
29510,199906,15
31055,199906,13
32003,199906,53
32031,199906,10
33011,199906,11
34003,199906,26
34005,199906,12
34007,199906,16
34013,199906,21
34017,199906,16
34023,199906,12
34025,199906,15
34029,199906,23
34031,199906,13
35001,199906,17
36001,199906,20
36005,199906,12
36029,199906,38
36047,199906,33
36055,199906,17
36059,199906,37
36061,199906,36
36065,199906,16
36067,199906,15
36081,199906,35
36083,199906,12
36085,199906,10
36103,199906,47
36111,199906,11
36119,199906,18
37081,199906,11
37119,199906,15
37183,199906,10
39035,199906,40
39049,199906,26
39061,199906,31
39095,199906,12
39099,199906,16
39113,199906,21
39139,199906,11
39151,199906,11
39153,199906,30
39155,199906,10
40109,199906,26
40143,199906,16
41039,199906,13
41051,199906,25
41067,199906,12
42003,199906,63
42011,199906,12
42017,199906,14
42045,199906,22
42049,199906,10
42071,199906,12
42091,199906,21
42101,199906,40
42125,199906,13
42129,199906,22
42133,199906,14
44007,199906,18
45003,199906,11
45045,199906,22
47037,199906,20
47065,199906,17
47093,199906,19
47157,199906,17
47163,199906,11
48029,199906,27
48113,199906,40
48141,199906,10
48201,199906,39
48303,199906,10
48339,199906,11
48439,199906,40
48453,199906,15
49035,199906,21
51059,199906,14
53011,199906,13
53033,199906,48
53053,199906,29
53061,199906,15
53063,199906,25
55025,199906,14
55079,199906,28
55101,199906,12
01073,199907,25
04013,199907,87
04019,199907,21
05119,199907,14
06001,199907,31
06013,199907,31
06019,199907,17
06029,199907,23
06037,199907,193
06041,199907,10
06059,199907,90
06065,199907,49
06067,199907,36
06071,199907,55
06073,199907,80
06075,199907,19
06077,199907,14
06081,199907,28
06083,199907,12
06085,199907,25
06097,199907,23
06111,199907,18
08001,199907,11
08005,199907,11
08031,199907,21
08041,199907,11
08059,199907,20
08077,199907,10
09001,199907,19
09003,199907,32
09009,199907,30
11001,199907,16
12009,199907,18
12011,199907,47
12031,199907,30
12033,199907,12
12057,199907,36
12069,199907,10
12071,199907,20
12081,199907,14
12083,199907,18
12086,199907,57
