GEOID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
05119,38328,37998,38068,39325,40499,40629,43338,44909,45215,42107,44733,43898,44819,46526,45698,46473,47966,52361,49957,52684
05121,28314,27194,27446,28598,29577,30439,28497,32600,30508,31847,33401,33210,33870,33148,37761,34730,38647,35989,37799,42875
05123,26282,25248,24802,25571,26428,27732,30125,28318,28442,28880,29825,28467,32932,29011,30489,31625,39675,31561,33257,34389
05125,43528,42469,43002,44342,46508,48487,48287,50849,50133,52630,53430,54372,57787,54921,55915,56926,63618,61384,63677,66944
05127,27204,26509,25627,25706,27384,27641,30543,33884,33458,29922,29633,31163,30630,32404,33202,36028,34245,33354,35826,38065
05129,22166,21301,21145,21836,22910,23734,24142,24515,25547,25397,27896,26990,26330,27299,31765,30427,29747,30640,31659,34712
05131,35003,34481,34599,35685,36863,35765,37862,40545,39573,39088,38724,38404,38730,41685,39907,41452,42559,44058,46843,48945
05133,30074,29111,27654,28620,29876,33200,31363,33281,32062,36248,35279,30899,32662,33698,37014,41848,38697,41649,44100,43493
05135,25155,24232,24105,24647,26618,25875,29436,27176,31801,28950,28933,28760,30076,31224,32101,32095,32379,34266,36032,37591
05137,23708,22863,22622,23646,24731,25105,25687,27287,28724,27960,29182,29182,28442,27522,30010,32023,31955,32778,34009,36930
05139,31442,30818,31647,31957,32721,33146,34152,37120,38616,35005,36934,37193,40026,38132,40841,42195,41546,43827,45335,46602
05141,27102,26514,26655,27204,28249,28004,29766,31924,35155,34287,32142,34513,35876,35111,32975,38306,38166,36244,40486,38096
05143,35612,35728,35627,36928,38385,39788,41505,42909,42691,41098,39692,39230,41856,43302,45589,46418,46367,50400,50893,52158
05145,32865,32145,32345,34019,35052,36407,36864,37809,39283,38796,39974,42958,40950,43363,42044,42508,44329,44088,44811,46388
05147,23251,22281,21821,23706,24352,26789,24147,26550,26185,26754,27003,27357,29184,29159,29969,31013,30400,32271,34306,36568
05149,29079,28571,28189,28569,30076,31580,32302,34169,36459,33699,33522,33747,38322,34679,37080,37415,38658,40325,41729,44469
06001,55551,54925,55595,56225,57659,60937,64285,68263,70217,68258,66937,67295,70209,72128,76996,81462,89472,95550,101744,107589
06003,39640,38401,37691,38825,42827,45283,47515,46136,49320,45391,44241,46706,46336,49392,53003,50882,57481,55755,55384,58112
06005,42701,41805,43628,44494,47459,52078,50528,54903,53951,54461,49516,51553,51388,52357,54610,55879,59789,60588,58515,62640
06007,31963,31342,32124,33528,34891,36303,40023,39466,40308,41196,41168,39208,40748,42395,42302,45369,45097,48634,50945,58394
06009,41460,40890,42563,43462,46052,47639,52745,51447,52850,51564,50745,50599,50962,52598,53321,52471,57990,58536,62984,68248
06011,35623,34722,34556,36579,38350,39186,40240,43882,44622,47472,44981,47469,49871,48897,48006,51118,54861,53595,57249,59048
06013,64040,64433,65186,64365,65459,69463,74058,76317,78469,75084,73678,74241,74208,78909,80338,83036,90920,95062,101463,106555
06015,30166,28841,29028,29990,31502,32724,33765,35910,36729,38252,35438,35598,37305,38663,41419,38963,39458,39996,48518,48979
06017,52155,51861,53182,54131,56629,62199,67605,64256,67019,68778,65201,61970,68446,63002,70235,75575,75100,78464,81869,86202
06019,34930,34020,34579,36003,36930,41390,42433,46547,43534,45219,44869,42572,41563,43741,43338,46608,48323,51452,52318,56926
06021,32321,31637,31751,32725,34883,35707,38093,38521,39641,41904,40859,40221,41201,42129,43755,43584,46141,49979,47365,55682
06023,32098,31251,31546,32211,33281,33923,38796,37281,39627,35985,38254,39526,39837,40882,40581,40739,43164,46123,49471,51134
06025,31651,30760,31412,32637,33674,35085,36275,33576,36894,37846,39261,36898,38185,40106,38737,39925,43327,43413,46633,48102
06027,36377,35848,36806,37553,38853,39911,41366,46865,47197,44090,44507,44928,45748,45784,49267,51697,53350,53528,53793,59605
06029,36446,35575,36441,37614,38689,40146,42709,46639,44716,46938,45045,44903,45599,46688,47451,51150,49812,49904,51586,53245
06031,34724,33879,34709,36137,38238,40433,42070,45087,48614,44102,44020,48319,45464,45794,44490,46440,51320,55076,58255,57297
06033,29935,29283,29886,31178,32757,34874,36174,38113,38926,36895,35914,35882,35437,36973,36333,37993,40818,45797,45086,46897
06035,37358,36128,36831,37687,39143,41423,45668,47676,47333,46377,50093,47938,47480,50487,49995,54670,49793,58776,57705,53613
06037,42045,41573,41506,41544,43518,48166,51279,53494,55452,54375,52595,52239,52929,54443,55686,59045,61308,64912,67986,72721
06039,35248,34010,34432,36050,37881,44655,39919,44259,46066,42769,43596,44795,42054,41223,43171,46593,49467,50783,53632,61105
06041,72301,73276,70854,66764,67731,78009,81305,83910,89909,86658,82383,78470,88654,94347,94549,99868,103488,112735,122933,112069
06043,35151,34192,35331,35437,37355,39891,40930,42757,44419,42775,42222,42175,43166,45251,47781,44595,51233,52387,51402,52760
06045,36240,35199,35644,35869,36624,40149,39847,42329,43134,41488,40339,41236,41088,42001,42840,43237,45247,50453,51386,52309
06047,34474,34074,34689,36738,38792,40039,40447,43789,42629,39922,41730,40016,42552,41003,43818,42879,47442,48036,56169,59733
06049,28859,27893,28072,28533,29526,29506,31610,33713,35319,34290,34579,34654,36724,37055,39172,38402,42890,40970,45227,45311
06051,44382,44395,44575,45654,48083,49703,51135,54174,55798,53973,52768,48758,53067,55107,59181,53992,56574,60318,66499,66226
06053,47073,46270,45878,45596,46971,55723,54273,56668,58822,57647,53735,52746,56038,55411,57428,60047,62999,70294,69665,76509
06055,52262,51618,52113,51991,53184,62836,63586,61988,64829,66970,62893,61179,65698,68619,71063,72683,73112,83881,85624,90230
06057,46777,46171,47478,47680,49811,51582,52141,58658,56030,57250,54154,53833,54230,55246,57118,57627,60501,64901,66681,69550
06059,55654,55994,55992,55909,58605,65823,70109,73107,74862,71735,70727,72046,71866,73827,76061,78002,81642,86031,89373,95761
