vars,AQI,AQI_1m_lag,AQI_2m_lag,BB_g_m-2,BB_g_m-2_1m_lag,BB_g_m-2_2m_lag,C_g_m-2,C_g_m-2_1m_lag,C_g_m-2_2m_lag,DM_kg_m-2,DM_kg_m-2_1m_lag,DM_kg_m-2_2m_lag,NPP_g_m-2,NPP_g_m-2_1m_lag,NPP_g_m-2_2m_lag,PDSI,PDSI_1m_lag,PDSI_2m_lag,Rh_g_m-2,Rh_g_m-2_1m_lag,Rh_g_m-2_2m_lag,SP01,SP01_1m_lag,SP01_2m_lag,burned_frac,burned_frac_1m_lag,burned_frac_2m_lag,pm25_ug_m-3,pm25_ug_m-3_1m_lag,pm25_ug_m-3_2m_lag,precip_in,precip_in_1m_lag,precip_in_2m_lag,smallf_frac,smallf_frac_1m_lag,smallf_frac_2m_lag,temp_F,temp_F_1m_lag,temp_F_2m_lag,ALAND_ATOTAL_ratio,deathRate,median_inc,month,months_from_start,popuDensity_ALAND_km2,popuDensity_ATOTAL_km2
precip_in_1m_lag,0.0,0.0,0.0,4.538705795726073e-184,4.253559930871866e-155,0.0,4.538705795726073e-184,4.253559930871866e-155,0.0,1.120181800936329e-183,7.327863545302909e-155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.819920031946926e-196,0.0,1.1888060827542083e-219,4.463980782413298e-14,7.675803811679127e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.069139098500068e-67,0.0,0.0,9.841843372570823e-76,0.0,0.0
precip_in_2m_lag,0.0,0.0,0.0,2.331812020597665e-68,7.902241078536271e-179,4.255697587752717e-157,2.331812020597665e-68,7.902241078536271e-179,4.255697587752717e-157,4.7135526927716725e-68,1.9634745957170724e-178,7.425703144032726e-157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7202653065195548e-193,0.0,4.301630361725782e-10,1.4295454348672984e-11,1.0360410992204785e-13,0.0,0.0,0.0,0.0,0.0,0.0,3.195746677873417e-76,2.2759760102891153e-306,0.0,0.0,0.0,0.0,0.0,7.443060687903911e-153,0.0,0.0,5.778405095319143e-139,0.0,0.0
smallf_frac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.195746677873417e-76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0504304561881678e-29,1.0056233046660384e-301,0.0
smallf_frac_1m_lag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1473171749249075e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2759760102891153e-306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.612450627893968e-22,1.6805965353263628e-297,0.0
smallf_frac_2m_lag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.624548368747832e-66,6.977162985844207e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.086117831184001e-13,1.9884991944748765e-294,0.0
temp_F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.623431270682058e-17,4.092195272839991e-110,1.2690774849131273e-128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.975838574526339e-194,0.0,0.0,0.0,2.392542132279584e-06,0.0,0.0
temp_F_1m_lag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0573518401818541e-26,6.644939326654954e-16,2.8664880096705858e-123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.431522649619865e-192,0.0,0.0,0.0,1.1412327639269333e-71,0.0,0.0
temp_F_2m_lag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6920243332554595e-27,4.330932917309827e-25,6.330602757095392e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.864403780187111e-190,0.0,0.0,0.0,8.476884276560535e-179,0.0,0.0
ALAND_ATOTAL_ratio,4.596687154401142e-150,4.8807403681629563e-150,1.899379780447216e-148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.601247982461809e-31,1.145605739619201e-35,8.841030738066652e-40,0.0,0.0,0.0,1.6643563400804876e-07,4.641246604283651e-07,7.0994762347010464e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9758385745263392e-194,4.431522649619865e-192,4.864403780188493e-190,0.0,0.0,0.0,0.9394671565265219,0.9192528908683618,0.0,0.0
deathRate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.889638499726045e-09,1.8738387075904096e-59,8.513125301547196e-74,0.0,0.0,0.0,0.0,0.0,0.0,0.0762879345678015,3.069139098500068e-67,7.443060687903911e-153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4694161715828873e-137,0.0,0.0,0.0,0.0
